ID_1,SR_ssp126,PD_ssp126,PE_ssp126,PDses_ssp126,Res_PD_ssp126,EDGE_ssp126
0,31,2382.858434,0.43568487,-1.54309647,-43.30476876,1.675813546
3,44,3106.208724,0.63727115,-0.488261246,-279.5120284,1.773159546
4,1,1.944663,0.022768782,NA,-209.8549637,2.149981543
5,4,815.720393,0.071085062,0.073715981,382.4844087,2.004591525
6,18,1539.189391,0.206976669,-2.788255796,72.58373786,1.719513223
7,1,5.03648,0.018386627,NA,-206.7631467,1.45844031
8,7,1042.291747,0.109518767,-0.83787337,387.6194051,1.796121285
9,3,776.922813,0.072401475,0.576140331,417.4989479,1.752235246
10,43,3180.046572,0.735781933,0.030433567,-131.8620612,1.725504016
11,53,4099.964614,1.719857287,2.455289308,49.9347888,1.761063457
12,1,1.424012,0.017693773,NA,-210.3756147,1.446167853
13,31,2304.825133,0.36940408,-2.060311324,-121.3380698,1.736832103
14,7,1053.619453,0.135182385,-0.846422688,398.9471111,1.804231811
15,1,1.424012,0.017693773,NA,-210.3756147,1.446167853
18,3,321.466212,0.032577521,-1.516760748,-37.95765311,1.92674625
19,3,321.466212,0.032577521,-1.516760748,-37.95765311,1.92674625
20,26,2205.758018,0.360179018,-0.898864925,148.6554112,1.727599781
22,3,292.443095,0.03080559,-1.85583437,-66.98077011,1.683950197
23,37,2600.374538,0.465135809,-1.575708216,-268.66138,1.741604013
24,32,2262.508541,0.390705157,-2.106567337,-237.466781,1.723346518
25,9,1337.185211,0.171503485,0.53943499,534.8886307,1.983667462
26,30,2463.320771,0.46958766,-0.589509894,110.9696874,1.76930518
27,42,3374.580812,0.95847654,1.062681775,136.484298,1.697377949
28,27,2313.800567,0.379107744,-0.650071033,182.885841,1.80101937
29,61,4560.184933,2.722105404,3.512493026,-80.34184581,1.759387596
30,44,3585.036609,1.069663429,1.676958237,199.3158566,1.781805532
32,30,2512.36976,0.506162682,-0.294577637,160.0186764,1.745632865
33,3,292.443095,0.03080559,-1.85583437,-66.98077011,1.683950197
34,4,815.720393,0.06902375,0.087770982,382.4844087,1.660251298
35,1,3.433891,0.018709313,NA,-208.3657357,1.453576403
36,37,2887.141736,0.699853367,-0.09255058,18.10581803,1.813776682
38,11,469.430826,0.054481536,-8.092143935,-480.4899927,1.577418351
39,3,292.443095,0.03080559,-1.85583437,-66.98077011,1.683950197
40,41,2577.218465,0.54058917,-2.968281875,-587.0659298,1.677770098
42,1,3.433891,0.018709313,NA,-208.3657357,1.453576403
43,4,815.720393,0.069578245,0.166119479,382.4844087,1.654379457
44,7,1086.423727,0.134374688,-0.38244288,431.7513851,1.707181837
45,45,3633.159509,1.136634555,1.748887672,173.6266374,1.749406387
46,25,1700.154254,0.232203516,-4.177321385,-283.1362335,1.673790689
47,10,458.750538,0.062431789,-8.740115322,-417.3581615,1.662190381
48,1,5.03648,0.018386627,NA,-206.7631467,1.45844031
50,15,1320.602862,0.165861728,-3.12377283,75.43356647,1.624518957
51,38,3074.406514,0.71451594,0.58786296,131.5584768,1.727273322
52,3,776.922813,0.072401475,0.576140331,417.4989479,1.752235246
53,3,776.922813,0.072401475,0.576140331,417.4989479,1.752235246
55,26,2337.212103,0.390105516,-0.129214118,280.1094962,1.704914639
56,25,1502.245715,0.241325736,-5.197023694,-481.0447725,1.668884388
57,6,1007.275325,0.104238805,-0.192201878,426.4151023,1.738009285
58,29,2184.268608,0.352577661,-1.95123534,-94.27035636,1.721796668
59,33,2471.255427,0.424032595,-1.406284548,-102.5320142,1.702453004
60,25,2254.770065,0.37033512,-0.322146233,271.4795775,1.801463207
61,45,3770.764138,1.175767186,2.318311746,311.2312664,1.786566311
63,5,939.454629,0.098488474,0.103482755,432.4065255,1.655293644
64,4,815.720393,0.06902375,0.087770982,382.4844087,1.660251298
65,2,77.595158,0.022275286,-1.802373428,-208.0165879,1.449872128
66,27,2333.057312,0.412573737,-0.464392505,202.142586,1.776790027
67,4,815.720393,0.06902375,0.087770982,382.4844087,1.660251298
68,31,2313.914458,0.374048905,-1.769167663,-112.2487448,1.735110621
69,5,939.454629,0.100549785,-0.027433007,432.4065255,1.930765826
70,1,5.03648,0.018386627,NA,-206.7631467,1.45844031
71,1,3.433891,0.018709313,NA,-208.3657357,1.453576403
73,31,2481.243238,0.423464379,-0.845753099,55.08003524,1.760423836
74,3,122.188735,0.028585966,-2.622940632,-237.2351301,1.44368799
75,26,2198.948596,0.355421322,-0.937834794,141.8459892,1.808332729
77,1,3.433891,0.018709313,NA,-208.3657357,1.453576403
78,8,1121.440149,0.140737399,-1.021914856,392.9556879,1.847651271
79,3,776.922813,0.064973347,0.65992729,417.4989479,1.704131321
80,6,982.147505,0.100717383,-0.413607978,401.2872823,1.872955252
81,26,1904.94123,0.274946558,-2.977334587,-152.1613768,1.686509498
82,34,2694.740824,0.513413437,-0.278366185,47.14126363,1.743372916
83,1,5.03648,0.018386627,NA,-206.7631467,1.45844031
84,32,2425.434508,0.501554228,-1.553993727,-74.54081396,1.695850666
86,1,1.424012,0.017693773,NA,-210.3756147,1.446167853
87,44,3451.43059,0.89050833,1.091313899,65.70983762,1.742460206
89,8,401.070624,0.052528231,-7.681400666,-327.4138371,1.625404711
90,4,815.720393,0.071085062,0.073715981,382.4844087,2.004591525
92,2,253.645516,0.027642591,-0.874046821,-31.96622991,1.456008356
93,7,1086.423727,0.136240682,-0.481730693,431.7513851,1.903947681
95,6,1007.275325,0.104043487,-0.172328237,426.4151023,1.738009285
98,1,3.433891,0.018709313,NA,-208.3657357,1.453576403
99,2,253.645516,0.027642591,-0.874046821,-31.96622991,1.456008356
101,2,253.645516,0.026006967,-0.814435922,-31.96622991,1.810621355
102,32,2365.020306,0.513729396,-2.120342401,-134.955016,1.670816697
103,49,3854.396555,1.369179099,1.941092762,99.61520661,1.774138452
104,28,2098.452198,0.343561296,-2.228896225,-106.2746472,1.774678992
105,4,815.720393,0.06902375,0.087770982,382.4844087,1.660251298
106,28,2176.986524,0.350570211,-1.680928424,-27.74032116,1.73092025
107,32,2300.232061,0.3889587,-2.199001908,-199.743261,1.721096473
108,7,962.135638,0.088202231,-1.395470654,307.4632961,1.980182619
109,2,253.645516,0.026006967,-0.814435922,-31.96622991,1.810621355
110,7,921.991402,0.080640934,-1.787360009,267.3190601,1.770137482
111,49,3960.09054,1.623892346,2.717060231,205.3091916,1.793287612
112,30,2225.138315,0.363000631,-2.145990716,-127.2127686,1.715916953
117,4,360.263791,0.036143494,-3.015945643,-72.97219331,1.806601651
118,1,3.433891,0.018709313,NA,-208.3657357,1.453576403
119,2,253.645516,0.027022507,-0.761544822,-31.96622991,1.814325629
120,2,135.641392,0.023387145,-1.338598433,-149.9703539,1.816757583
121,5,939.454629,0.098488474,0.103482755,432.4065255,1.655293644
122,6,894.619715,0.12816667,-0.865597136,313.7594923,1.963781965
123,5,939.454629,0.098488474,0.103482755,432.4065255,1.655293644
124,7,1010.709216,0.104825695,-1.133315385,356.0368741,1.697376016
125,9,1124.87404,0.141324288,-1.728761366,322.5774597,1.803865175
126,1,1.424012,0.017693773,NA,-210.3756147,1.446167853
127,2,70.032844,0.023989276,-1.55546007,-215.5789019,1.799184844
128,52,3911.49294,1.233824222,1.549363873,-64.724766,1.730649482
129,2,253.645516,0.0340953,-0.72720833,-31.96622991,1.470833156
131,6,335.093001,0.039302594,-5.580241762,-245.7672217,1.447924913
132,2,253.645516,0.027022507,-0.761544822,-31.96622991,1.814325629
133,2,253.645516,0.02920664,-0.647170726,-31.96622991,1.444880013
134,43,3062.835204,0.664489045,-0.510742066,-249.0734292,1.736220976
135,1,109.58844,0.037515261,NA,-102.2111867,1.706344326
136,1,1.424012,0.017693773,NA,-210.3756147,1.446167853
137,50,3989.093447,1.631687704,2.559769415,160.4999794,1.801347838
138,2,253.645516,0.027642591,-0.874046821,-31.96622991,1.456008356
139,11,945.024964,0.144630437,-4.254850353,-4.895854725,1.601993498
140,1,3.433891,0.018709313,NA,-208.3657357,1.453576403
142,8,451.488308,0.051071874,-7.391565377,-276.9961531,1.713729649
143,40,3188.694572,0.774628101,0.650252166,98.22229642,1.786453165
144,15,1741.927235,0.247318665,0.310046896,496.7579395,1.803452707
145,2,253.645516,0.026561462,-0.854791828,-31.96622991,1.798877672
146,7,1139.406355,0.127748177,0.240319196,484.7340131,1.833215232
147,21,1926.124941,0.262444002,-1.125938023,238.0829303,1.709629626
148,2,253.645516,0.02920664,-0.647170726,-31.96622991,1.444880013
149,29,1928.442675,0.284820585,-3.603645076,-350.0962894,1.605864177
150,1,5.03648,0.018386627,NA,-206.7631467,1.45844031
151,26,1965.091224,0.324150663,-2.658922025,-92.01138275,1.683571173
152,2,650.100055,0.181376945,0.963536994,364.4883091,1.52750961
153,10,418.291965,0.054614035,-8.486182453,-457.8167345,1.592934655
154,7,985.581396,0.101304272,-1.318070462,330.9090541,1.813043988
155,7,921.991402,0.080640934,-1.787360009,267.3190601,1.770137482
156,1,1.424012,0.017693773,NA,-210.3756147,1.446167853
157,2,253.645516,0.027022507,-0.761544822,-31.96622991,1.814325629
158,47,3580.029119,0.871358229,1.053874539,-27.12799099,1.744066433
159,3,255.272432,0.02958551,-1.955100356,-104.1514331,1.440155215
160,5,894.868795,0.101220945,-0.257916574,387.8206915,1.90811665
161,16,1300.483645,0.153866101,-3.900955423,-18.49776973,1.61222401
162,2,253.645516,0.027642591,-0.874046821,-31.96622991,1.456008356
164,9,1089.303765,0.118449162,-1.971643956,287.0071847,1.883368641
165,36,2697.087746,0.501336938,-0.88012212,-98.13605277,1.752206323
166,1,5.03648,0.018386627,NA,-206.7631467,1.45844031
167,34,2541.329387,0.496137397,-1.382560025,-106.2701734,1.765851426
168,1,3.433891,0.018709313,NA,-208.3657357,1.453576403
169,3,292.443095,0.03080559,-1.85583437,-66.98077011,1.683950197
170,40,2847.366894,0.569893822,-0.852905862,-243.1053816,1.729154622
172,7,997.705913,0.111272675,-1.436984872,343.0335711,1.877963877
173,2,253.645516,0.029955123,-0.917592276,-31.96622991,1.444880013
174,3,321.466212,0.03156198,-1.651128428,-37.95765311,1.924276733
175,29,2311.228721,0.372972485,-1.253554968,32.68975664,1.731072125
176,10,1118.290232,0.112393998,-2.162578713,242.1815325,1.770572855
177,1,3.433891,0.018709313,NA,-208.3657357,1.453576403
178,1,109.58844,0.037515261,NA,-102.2111867,1.706344326
179,36,2708.877623,0.504700031,-0.851127794,-86.34617577,1.733410974
181,30,2446.6662,0.509130381,-0.730939999,94.31511644,1.759877043
182,1,3.119954,0.017766543,NA,-208.6796727,2.175074856
183,3,277.927561,0.038570078,-1.673762868,-81.49630411,1.457662009
184,7,1105.881742,0.138983644,0.044839094,451.2094001,1.820951739
185,1,5.03648,0.018386627,NA,-206.7631467,1.45844031
186,5,879.759932,0.076630139,-0.171611561,372.7118285,1.898139854
187,5,894.868795,0.099159633,-0.301287635,387.8206915,1.632644469
189,1,3.433891,0.018709313,NA,-208.3657357,1.453576403
190,1,0.921247,0.021021845,NA,-210.8783797,1.431319715
191,2,253.645516,0.027642591,-0.874046821,-31.96622991,1.456008356
192,1,1.424012,0.017693773,NA,-210.3756147,1.446167853
193,6,886.97498,0.075360971,-1.143135083,306.1147573,1.707694848
194,2,650.100055,0.181376945,0.963536994,364.4883091,1.52750961
195,31,2436.612856,0.433655726,-1.083885852,10.44965324,1.765271151
196,9,430.980513,0.049058559,-7.548623837,-371.3160673,1.451120555
198,24,2125.92422,0.331468305,-0.773392043,216.4458517,1.778723953
199,24,2184.368518,0.350079483,-0.392011028,274.8901497,1.722302042
200,50,3914.079298,1.506269447,2.134470391,85.48583041,1.771436624
203,37,2767.916339,0.523908808,-0.720874717,-101.119579,1.764075621
205,25,2259.483211,0.370919601,-0.282221758,276.1927235,1.857485254
206,1,1.424012,0.017693773,NA,-210.3756147,1.446167853
207,4,332.544838,0.03854461,-3.039335908,-100.6911463,1.456381035
208,45,3549.193873,0.98142718,1.277402874,89.66100141,1.756162477
209,28,2398.141183,0.405097601,-0.412111502,193.4143378,1.736205416
210,2,253.645516,0.029955123,-0.917592276,-31.96622991,1.444880013
211,45,3589.453764,1.123600823,1.525836348,129.9208924,1.758868332
212,6,335.929888,0.037860365,-6.816325594,-244.9303347,1.684776765
213,6,365.575911,0.043542907,-6.855069139,-215.2843117,1.673412174
215,7,1042.291747,0.109518767,-0.83787337,387.6194051,1.796121285
216,2,253.645516,0.027577002,-0.71744698,-31.96622991,1.802581947
217,1,3.433891,0.018709313,NA,-208.3657357,1.453576403
218,1,5.03648,0.018386627,NA,-206.7631467,1.45844031
219,1,1.782218,0.017356388,NA,-210.0174087,1.446686698
221,58,4278.481307,2.485745746,2.331789304,-140.6091142,1.802006947
222,6,962.689491,0.104909965,-0.627946398,381.8292683,1.719134972
223,1,3.433891,0.018709313,NA,-208.3657357,1.453576403
224,44,3154.991384,1.534515498,-0.289003633,-230.7293684,1.751246877
225,8,1045.725638,0.110105657,-1.582435352,317.2411769,1.753303175
226,8,1205.00233,0.211025132,0.024726119,476.5178689,1.959129888
227,6,331.623012,0.046607508,-8.496098258,-249.2372107,1.681767399
228,35,2488.327549,0.450806455,-2.081402276,-233.0841306,1.714841635
230,7,1118.059692,0.12217538,0.000931275,463.3873501,1.849153691
231,30,2428.98404,0.460592315,-0.961617777,76.63295644,1.734538282
232,6,336.552794,0.038087781,-6.572900758,-244.3074287,1.441906595
233,7,347.63142,0.042014046,-5.984844117,-307.0409219,1.447352945
234,1,5.03648,0.018386627,NA,-206.7631467,1.45844031
235,1,3.433891,0.018709313,NA,-208.3657357,1.453576403
236,5,879.759932,0.076630139,-0.171611561,372.7118285,1.898139854
237,2,135.641392,0.028389385,-1.408431797,-149.9703539,1.804210927
238,7,1086.423727,0.136240682,-0.481730693,431.7513851,1.903947681
239,2,253.645516,0.026006967,-0.814435922,-31.96622991,1.810621355
240,7,1125.853928,0.180889249,0.087100206,471.1815861,2.021545994
241,1,1.944663,0.022768782,NA,-209.8549637,2.149981543
242,1,1.424012,0.017693773,NA,-210.3756147,1.446167853
243,7,1086.423727,0.136240682,-0.481730693,431.7513851,1.903947681
244,37,2736.584968,0.547251451,-0.788201302,-132.45095,1.728119587
245,39,2885.058786,0.737120697,-0.527388881,-131.6013704,1.690528945
246,21,1792.836333,0.250827473,-1.901671611,104.7943223,1.758867457
247,1,5.03648,0.018386627,NA,-206.7631467,1.45844031
248,4,289.006187,0.041715171,-3.296981579,-144.2297973,1.456705617
249,2,253.645516,0.025669582,-0.837707873,-31.96622991,1.810880777
250,13,476.723269,0.063426701,-9.42361691,-620.8217881,1.610214458
251,47,3569.801462,0.98761238,1.02392026,-37.35564799,1.759506966
254,1,5.03648,0.018386627,NA,-206.7631467,1.45844031
257,5,1040.536187,0.110761949,0.999655919,533.4880835,1.934227057
259,1,1.424012,0.017693773,NA,-210.3756147,1.446167853
260,5,883.541089,0.074578764,-0.202940371,376.4929855,1.758518537
261,7,985.581396,0.101304272,-1.318070462,330.9090541,1.813043988
262,8,927.027882,0.081633539,-2.86805587,198.5434209,1.731175335
263,5,939.454629,0.098488474,0.103482755,432.4065255,1.655293644
264,6,308.833841,0.037237215,-4.849553963,-272.0263817,1.446315703
265,5,923.891912,0.101681377,0.106592842,416.8438085,1.773624627
266,5,934.298996,0.217699686,0.061467119,427.2508925,1.925339724
267,6,1003.494168,0.106094862,-0.180204209,422.6339453,1.854360383
268,4,900.65705,0.09390696,0.548166203,467.4210657,1.705722955
269,29,2161.648667,0.434172885,-2.344720918,-116.8902974,1.673555376
270,23,1952.044072,0.306665824,-1.778667601,116.3778229,1.711555567
271,5,934.298996,0.217699686,0.061467119,427.2508925,1.925339724
272,2,253.645516,0.025669582,-0.837707873,-31.96622991,1.810880777
273,4,815.720393,0.066343515,-0.087366492,382.4844087,1.664038567
274,4,844.743509,0.077956488,0.268388206,411.5075247,1.852073307
275,2,135.641392,0.023387145,-1.338598433,-149.9703539,1.816757583
276,51,3870.578386,1.463342341,1.710277479,-31.8272008,1.776598644
277,1,109.58844,0.037515261,NA,-102.2111867,1.706344326
278,32,2374.952461,0.391913117,-1.714482462,-125.022861,1.730294755
279,32,2411.840446,0.395561331,-1.498506262,-88.13487596,1.73430367
280,29,2426.893237,0.41585879,-0.603366255,148.3542726,1.803350167
281,6,1003.494168,0.106094862,-0.180204209,422.6339453,1.854360383
282,3,321.466212,0.03264311,-1.730626386,-37.95765311,1.69569719
283,6,1007.275325,0.104043487,-0.172328237,426.4151023,1.738009285
284,7,997.705913,0.111272675,-1.436984872,343.0335711,1.877963877
285,32,2500.163819,0.468604752,-1.03711763,0.188497038,1.761207287
286,4,844.74351,0.071071345,0.273992603,411.5075257,2.04444999
287,1,5.03648,0.018386627,NA,-206.7631467,1.45844031
288,6,1098.384055,0.202241531,0.804835046,517.5238323,2.012460819
289,36,2805.12992,0.695734491,-0.279296778,9.90612123,1.704534171
290,28,2331.765562,0.383530441,-0.826604979,127.0387168,1.814913714
291,40,3341.136936,0.810796814,1.393113702,250.6646604,1.785926257
292,46,3447.049513,1.11840535,0.694964991,-86.29547779,1.778724529
293,42,3118.287397,0.667963608,-0.035171103,-119.809117,1.755314427
294,13,1498.388303,0.186314686,-0.840672519,400.8432459,1.891139202
295,1,5.03648,0.018386627,NA,-206.7631467,1.45844031
296,41,2653.383606,0.5113356,-2.367049806,-510.9007888,1.682743299
297,1,3.433891,0.018709313,NA,-208.3657357,1.453576403
298,1,5.03648,0.018386627,NA,-206.7631467,1.45844031
299,1,109.58844,0.037515261,NA,-102.2111867,1.706344326
300,2,253.645516,0.027642591,-0.874046821,-31.96622991,1.456008356
301,28,2365.350346,0.46477298,-0.732049729,160.6235008,1.821963903
303,11,469.430826,0.054925411,-7.528468378,-480.4899927,1.514404971
305,8,1024.378975,0.10453286,-2.046043603,295.8945139,1.767249327
306,1,1.424012,0.017693773,NA,-210.3756147,1.446167853
307,17,1730.838274,0.241134018,-0.771411986,338.0447401,1.752370181
308,6,854.170706,0.075640415,-1.515630124,273.3104833,1.702647919
309,1,1.424012,0.017693773,NA,-210.3756147,1.446167853
310,9,1006.176284,0.111769422,-2.833656706,203.8797037,1.707957759
311,1,109.58844,0.037515261,NA,-102.2111867,1.706344326
313,4,815.720393,0.06902375,0.087770982,382.4844087,1.660251298
314,1,5.03648,0.018386627,NA,-206.7631467,1.45844031
316,2,70.032844,0.023989276,-1.55546007,-215.5789019,1.799184844
318,46,3612.86944,1.180573271,1.446842774,79.52444921,1.768645174
319,5,363.697682,0.036588316,-4.80196066,-143.3504215,1.73610037
320,2,135.641392,0.028389385,-1.408431797,-149.9703539,1.804210927
321,12,423.31854,0.056984615,-9.457839003,-600.4143979,1.562987221
322,6,982.147505,0.100717383,-0.413607978,401.2872823,1.872955252
323,46,3536.620212,0.855482991,1.024342522,3.275221212,1.750690222
324,1,1.424012,0.017693773,NA,-210.3756147,1.446167853
325,2,77.595158,0.022275286,-1.802373428,-208.0165879,1.449872128
326,48,3783.602858,1.210688106,1.928447429,102.6336288,1.718138997
327,6,335.929888,0.037860365,-6.816325594,-244.9303347,1.684776765
328,1,5.03648,0.018386627,NA,-206.7631467,1.45844031
329,5,968.477746,0.099461974,0.360008863,461.4296425,1.794895862
330,1,3.119954,0.017766543,NA,-208.6796727,2.175074856
331,2,77.595158,0.021937901,-1.496099179,-208.0165879,1.45013155
333,3,277.927561,0.038570078,-1.673762868,-81.49630411,1.457662009
334,8,927.027882,0.081633539,-2.86805587,198.5434209,1.731175335
335,8,1205.00233,0.211362517,0.09784699,476.5178689,1.959065033
336,39,2723.390034,0.523214749,-1.347444461,-293.2701224,1.709439006
337,1,3.433891,0.018709313,NA,-208.3657357,1.453576403
338,54,4068.866133,1.760328737,2.146503417,-54.9758114,1.805039716
340,1,5.03648,0.018386627,NA,-206.7631467,1.45844031
341,2,253.645516,0.027577002,-0.71744698,-31.96622991,1.802581947
342,7,1137.181634,0.205470118,0.167088829,482.5092921,1.931635945
343,50,4086.484127,1.483126145,2.697767581,257.8906594,1.789927012
344,46,3564.06407,0.905433603,1.159367878,30.71907921,1.734584629
345,6,419.948476,0.057202503,-6.200580925,-160.9117467,1.573708554
346,37,2615.195938,0.457806023,-1.540567793,-253.83998,1.755003004
348,5,894.868795,0.099159633,-0.301287635,387.8206915,1.632644469
349,1,3.433891,0.018709313,NA,-208.3657357,1.453576403
352,1,1.424012,0.017693773,NA,-210.3756147,1.446167853
353,2,135.641392,0.023387145,-1.338598433,-149.9703539,1.816757583
354,26,2136.108589,0.421284391,-1.345940275,79.00598225,1.805711934
355,14,479.327969,0.064566311,-9.966686062,-692.0292073,1.65227109
356,5,267.138263,0.033062337,-4.419713514,-239.9098405,1.441002581
357,29,2301.376625,0.353214218,-1.449792705,22.83766064,1.730842735
358,3,776.922813,0.072401475,0.576140331,417.4989479,1.752235246
359,1,5.03648,0.018386627,NA,-206.7631467,1.45844031
360,7,440.409682,0.04792678,-6.336940502,-214.2626599,1.750857251
361,1,5.03648,0.018386627,NA,-206.7631467,1.45844031
362,2,253.645516,0.027642591,-0.874046821,-31.96622991,1.456008356
363,2,83.391156,0.024752936,-1.56065406,-202.2205899,1.438743784
364,7,1048.46382,0.252332286,-0.904114665,393.7914781,1.800356025
365,3,688.897634,0.18801977,0.280470769,329.4737689,1.96198551
366,7,859.207186,0.089297824,-2.768611994,204.5348441,1.661553963
367,3,321.466212,0.03156198,-1.651128428,-37.95765311,1.924276733
368,34,2557.533559,0.48630149,-1.224968179,-90.06600137,1.743454893
370,8,1121.440149,0.140737399,-1.021914856,392.9556879,1.847651271
371,28,1865.785437,0.371391713,-3.645266575,-338.9414082,1.672173313
372,46,3687.947147,1.10608539,1.702104373,154.6021562,1.740769699
374,37,2590.374279,0.652345115,-1.863581503,-278.661639,1.647436296
375,1,3.433891,0.018709313,NA,-208.3657357,1.453576403
376,23,1961.858503,0.287797992,-1.507132162,126.1922539,1.664068538
378,8,1057.903589,0.102294249,-1.363424893,329.4191279,1.762163337
379,39,2613.163139,0.468189852,-2.207394894,-403.4970174,1.745821622
380,5,939.454629,0.098488474,0.103482755,432.4065255,1.655293644
381,1,0.921247,0.020273362,NA,-210.8783797,1.431319715
382,36,2722.825779,0.637856994,-0.613532179,-72.39801977,1.68387869
384,1,3.119954,0.017766543,NA,-208.6796727,2.175074856
385,9,1008.354225,0.113894663,-2.696296864,206.0576447,1.860457425
386,7,997.705913,0.111272675,-1.436984872,343.0335711,1.877963877
387,32,2269.410829,0.391957269,-2.019150612,-230.564493,1.701673089
389,29,2311.228721,0.372972485,-1.253554968,32.68975664,1.731072125
390,11,419.075634,0.054905905,-9.37117792,-530.8451847,1.578186561
391,7,374.215902,0.043622899,-7.566062061,-280.4564399,1.54558549
392,1,5.03648,0.018386627,NA,-206.7631467,1.45844031
393,6,886.97498,0.075360971,-1.143135083,306.1147573,1.707694848
394,51,3739.210713,1.164704077,1.159563301,-163.1948738,1.793930702
395,1,5.03648,0.018386627,NA,-206.7631467,1.45844031
397,38,2889.204306,0.700648498,-0.31336633,-53.64373117,1.804474335
398,32,2474.104146,0.517432385,-1.130110672,-25.87117596,1.742160103
400,26,2112.961995,0.338013609,-1.439485344,55.85938825,1.694418089
401,14,1628.993334,0.228981662,-0.174044455,457.6361577,1.920049771
402,1,3.433891,0.018709313,NA,-208.3657357,1.453576403
