ID_1,SR_ssp370,PD_ssp370,Pdses_ssp370,PE_ssp370,Res_PD_ssp370,EDGE_ssp370
0,28,2266.31862,-1.317273549,0.325153358,-27.84375904,1.78647415
1,2,650.100056,0.996774891,0.04436767,286.3658353,1.928965909
3,33,2567.841352,-0.999377499,0.395917407,-97.55721134,1.794203182
4,1,1.944663,-0.710483421,0.021714945,-287.5423208,2.149981543
5,4,815.720393,0.146127795,0.072660765,303.4916986,2.004591525
6,18,1698.738789,-1.584080306,0.232729673,147.0487786,1.741940822
7,1,5.03648,-0.742599278,0.016707505,-284.4505038,1.45844031
8,6,1003.494168,-0.178060626,0.103859559,342.7709999,1.854360383
9,4,912.834999,0.729466152,0.090041443,400.6063046,1.686964248
10,36,2724.032263,-0.89536247,0.461651513,-164.1080109,1.7534445
11,49,3865.06675,2.2056594,1.908596845,11.71239689,1.774640308
12,3,776.922814,0.66935054,0.053883293,338.9413565,1.768033223
13,28,2488.827355,-0.089204301,0.429310918,194.664976,1.795021205
14,7,1086.423727,-0.261723579,0.152453336,351.453322,1.903947681
15,2,253.645516,-0.711880854,0.026223127,-110.0887047,1.452304082
16,2,650.100056,0.996774891,0.04436767,286.3658353,1.928965909
17,1,109.58844,1.913635585,0.02799488,-179.8985438,1.706344326
18,3,321.466212,-1.56422906,0.031356528,-116.5152455,1.92674625
19,3,321.466212,-1.56422906,0.031356528,-116.5152455,1.92674625
20,25,2393.643818,0.487274553,0.410663288,322.2231495,1.805037045
21,2,650.100056,0.996774891,0.04436767,286.3658353,1.928965909
22,3,292.443095,-2.039422872,0.030915083,-145.5383625,1.683950197
23,34,2736.131122,-0.305382195,0.473769788,-3.5146782,1.754470365
24,28,2326.145269,-0.997095888,0.364411396,31.98288996,1.791883968
25,11,1538.563737,0.802219031,0.211955021,506.6043846,1.874230441
26,29,2538.226254,-0.031736758,0.48206518,169.8166381,1.815357519
27,32,2688.440185,0.157624653,0.623264397,97.28885852,1.815639317
28,24,2346.871358,0.497353247,0.379376879,349.6979264,1.793087089
29,48,3725.183744,1.622930718,1.342612237,-53.92337225,1.787911145
30,37,2802.625519,-0.728514353,0.526985559,-159.7619918,1.804209525
31,1,109.58844,1.913635585,0.02799488,-179.8985438,1.706344326
32,30,2541.028403,-0.31768611,0.482721421,98.37155024,1.803867542
33,3,292.443095,-2.039422872,0.030915083,-145.5383625,1.683950197
34,3,776.922814,0.742172587,0.063731158,338.9413565,1.731439499
35,1,3.433891,-0.811140236,0.019458138,-286.0530928,1.453576403
36,30,2500.371589,-0.453696316,0.466973787,57.71473624,1.808275848
38,12,472.55078,-9.937502187,0.056998106,-633.6558093,1.569460795
39,3,292.443095,-2.039422872,0.030915083,-145.5383625,1.683950197
40,40,2730.261366,-1.845826724,0.80523653,-454.8678554,1.652393036
43,3,292.443095,-2.039422872,0.030915083,-145.5383625,1.683950197
44,7,1058.844331,-0.809636384,0.112803509,323.873926,1.896591978
45,35,2808.130428,-0.09912996,0.700291284,-5.762609061,1.771923466
46,24,1746.924821,-3.386063042,0.214640291,-250.2486106,1.690925321
47,11,976.595847,-3.905145066,0.210920062,-55.3635054,1.663957469
48,1,5.03648,-0.742599278,0.016707505,-284.4505038,1.45844031
50,13,1401.405404,-1.525030189,0.188303478,220.9515779,1.671065774
51,30,2469.175781,-0.592197227,0.372304319,26.51892824,1.775643642
52,4,912.834999,0.729466152,0.090041443,400.6063046,1.686964248
53,4,912.834999,0.729466152,0.090041443,400.6063046,1.686964248
55,26,2420.806803,0.221387039,0.394308021,275.1388977,1.794917805
56,28,1842.581788,-4.296783289,0.469523764,-451.580591,1.659470802
57,7,1042.291747,-0.77994385,0.107999322,307.321342,1.796121285
58,26,2245.404005,-0.840077247,0.352220679,99.73609969,1.818401159
59,26,2327.548816,-0.306962399,0.362109724,181.8809107,1.792218569
60,23,2275.306098,0.397657287,0.347133688,352.3799033,1.808336835
61,41,3453.679512,1.741735116,1.346331975,194.3030538,1.819912486
63,5,968.477746,0.453093417,0.097056029,382.0018148,1.796273803
64,4,844.74351,0.358311976,0.068155656,332.5148156,1.836476497
65,3,292.443095,-1.872598324,0.031461811,-145.5383625,1.691606371
66,24,2190.162173,-0.454464404,0.325143117,192.9887414,1.781132535
67,5,883.541089,-0.339046118,0.072295419,297.0651578,1.758518537
68,27,2361.89297,-0.492498035,0.374008268,141.9778278,1.829581722
69,4,900.65705,0.681791474,0.091354604,388.4283556,1.705722955
70,1,5.03648,-0.742599278,0.016707505,-284.4505038,1.45844031
73,29,2531.282518,-0.058019743,0.424987246,162.8729021,1.797712145
74,1,3.433891,-0.811140236,0.019458138,-286.0530928,1.453576403
75,26,2430.205617,0.280208158,0.383340641,284.5377117,1.797807155
76,1,109.58844,1.913635585,0.02799488,-179.8985438,1.706344326
77,3,321.466212,-2.054745243,0.03225505,-116.5152455,1.464648129
78,8,1121.440149,-0.826878901,0.157907924,312.2225072,1.847651271
79,3,776.922813,0.673098227,0.060115345,338.9413555,1.704131321
80,6,1083.04327,0.567976985,0.108380491,422.3201019,1.91508324
81,18,1867.24337,-0.333360818,0.270266743,315.5533596,1.792875306
82,28,2548.495556,0.335274262,0.429379715,254.333177,1.7794289
83,1,5.03648,-0.742599278,0.016707505,-284.4505038,1.45844031
84,28,2395.058731,-0.59310606,0.372034909,100.896352,1.792951914
85,2,650.100056,0.996774891,0.04436767,286.3658353,1.928965909
86,1,1.424012,-0.671597605,0.018571231,-288.0629718,1.446167853
87,37,3119.082617,1.071616852,0.765431238,156.6951062,1.782734231
88,1,3.119954,-0.817369383,0.0165295,-286.3670298,2.175074856
89,11,945.024964,-4.187703828,0.211130993,-86.9343884,1.601993498
90,5,850.736815,-0.94199621,0.078115354,264.2608838,1.8943885
92,2,253.645516,-0.962660445,0.027110034,-110.0887047,1.456008356
93,5,968.477746,0.389591664,0.095779103,382.0018148,1.794895862
94,2,650.100056,0.996774891,0.04436767,286.3658353,1.928965909
95,5,968.477746,0.453093417,0.097056029,382.0018148,1.796273803
98,2,253.645516,-0.71995115,0.02677532,-110.0887047,1.802581947
99,3,258.681996,-1.947513408,0.027720073,-179.2994615,1.687868068
100,1,5.03648,-0.742599278,0.016707505,-284.4505038,1.45844031
101,3,776.922813,0.673098227,0.060115345,338.9413555,1.704131321
102,32,2453.626901,-1.3175156,0.50793051,-137.5244255,1.698093127
103,43,3267.646029,0.452373801,0.925778683,-140.2249029,1.809239966
104,20,1984.541495,-0.309889965,0.343708628,284.3570109,1.777407258
105,5,883.541089,-0.339046118,0.072295419,297.0651578,1.758518537
106,25,2122.60178,-1.22253256,0.327851463,51.18111155,1.795312539
107,25,2289.197725,-0.225273153,0.351596816,217.7770565,1.801280622
108,9,1301.563087,0.093742411,0.134415358,418.0982083,1.930368829
109,3,776.922813,0.673098227,0.060115345,338.9413555,1.704131321
110,7,921.991402,-1.83730212,0.07978738,187.020997,1.770137482
111,48,3911.391014,2.69756571,2.132959498,132.2838977,1.784565265
112,28,2276.150491,-1.340186781,0.35223965,-18.01188804,1.789461713
113,1,109.58844,1.913635585,0.02799488,-179.8985438,1.706344326
114,1,5.03648,-0.742599278,0.016707505,-284.4505038,1.45844031
115,2,650.100056,0.996774891,0.04436767,286.3658353,1.928965909
117,4,360.263791,-2.694105952,0.03588631,-151.9649034,1.806601651
119,3,321.466212,-1.753536078,0.031691242,-116.5152455,1.69569719
120,2,135.641392,-1.317710906,0.021288713,-228.0928287,1.816757583
121,5,968.477746,0.453093417,0.097056029,382.0018148,1.796273803
122,7,936.315293,-1.861214352,0.2020285,201.344888,1.888578267
123,5,968.477746,0.453093417,0.097056029,382.0018148,1.796273803
124,7,1042.291747,-0.752824063,0.107612982,307.321342,1.796121285
125,9,1124.87404,-1.316953952,0.155155452,241.4091613,1.72762695
126,3,776.922814,0.66935054,0.053883293,338.9413565,1.768033223
127,2,253.645516,-0.71995115,0.02677532,-110.0887047,1.802581947
128,42,3341.595516,1.042097996,0.903538988,7.971820913,1.802660859
129,6,861.750493,-1.18056918,0.200715975,201.0273249,1.612859235
130,2,253.645516,-0.71995115,0.02677532,-110.0887047,1.802581947
131,5,334.171754,-5.76401743,0.035886302,-252.3041772,1.451245952
132,2,253.645516,-0.703125544,0.026932029,-110.0887047,1.814325629
133,2,253.645516,-0.62269691,0.027520307,-110.0887047,1.444880013
134,36,2690.844308,-1.099570145,0.479622801,-197.2959659,1.749067858
135,2,650.100056,0.996774891,0.04436767,286.3658353,1.928965909
136,3,776.922814,0.66935054,0.053883293,338.9413565,1.768033223
137,51,4099.286348,2.752635049,2.62083923,97.43752117,1.81202891
138,1,5.03648,-0.742599278,0.016707505,-284.4505038,1.45844031
139,11,945.024964,-4.187703828,0.211130993,-86.9343884,1.601993498
140,1,5.03648,-0.742599278,0.016707505,-284.4505038,1.45844031
141,2,650.100056,0.996774891,0.04436767,286.3658353,1.928965909
142,10,1098.499843,-2.457428338,0.103218061,140.7877275,1.69684088
143,38,2959.934662,-0.033773756,0.811179884,-76.70008564,1.789829097
144,12,1503.735393,-0.050883489,0.161254368,397.5288037,1.811813071
145,3,776.922814,0.66935054,0.053883293,338.9413565,1.768033223
146,8,1257.984959,0.59154365,0.134416363,448.7673172,1.806178386
147,20,2014.530791,-0.176403361,0.265027358,314.3463069,1.768895644
148,6,309.683229,-7.258716564,0.044013513,-351.0399391,1.568527028
149,35,2460.062319,-2.034731147,0.643839759,-353.8307181,1.659955776
150,1,5.03648,-0.742599278,0.016707505,-284.4505038,1.45844031
151,26,1983.987613,-2.461273852,0.253332169,-161.6802923,1.73998051
152,2,650.100055,0.90533929,1.29743553,286.3658343,1.52750961
153,12,960.419319,-5.025745235,0.213451337,-145.7872703,1.591183408
154,9,1360.372533,0.766203076,0.152170407,476.9076543,1.791851504
155,6,918.557511,-1.199703139,0.07871261,257.8343429,1.822897661
156,3,776.922813,0.673098227,0.060115345,338.9413555,1.704131321
157,3,321.466212,-1.56422906,0.031356528,-116.5152455,1.92674625
158,41,2966.126372,-0.726081283,0.585824085,-293.2500862,1.761438175
159,3,255.272432,-1.8120335,0.027845411,-182.7090255,1.440155215
160,6,1018.603031,0.023972351,0.148028837,357.8798629,1.86267438
161,15,1588.837453,-1.111736731,0.215405499,259.8891532,1.742297093
162,1,5.03648,-0.742599278,0.016707505,-284.4505038,1.45844031
163,2,650.100056,0.996774891,0.04436767,286.3658353,1.928965909
164,7,1059.250246,-0.697177174,0.09744609,324.279841,2.017276566
165,29,2576.739179,0.181639234,0.408930363,208.3295631,1.796876956
166,1,5.03648,-0.742599278,0.016707505,-284.4505038,1.45844031
167,28,2424.401722,-0.418157155,0.465059778,130.239343,1.777852238
169,3,292.443095,-2.039422872,0.030915083,-145.5383625,1.683950197
