ID_1,SR_ssp585,PD_ssp585,Pdses_ssp585,Res_pd_ssp585,PE_ssp585,EDGE_ssp585
0,25,2399.492342,0.478127904,306.4150305,0.365927396,1.837163162
1,2,650.100056,0.996774891,259.9792881,0.043504306,1.928965909
3,35,2774.70717,-0.383114591,-58.78602999,0.483288281,1.785123552
4,1,1.944663,-0.710483421,-314.134516,0.021612167,2.149981543
5,4,815.720393,0.146127795,277.5164474,0.069412184,2.004591525
6,16,1697.167915,-0.720833853,270.4649032,0.244378016,1.780844897
7,1,5.03648,-0.742599278,-311.042699,0.016728599,1.45844031
8,6,1012.055873,0.018674124,325.7687497,0.103821869,1.98421023
9,4,912.834999,0.729466152,374.6310534,0.088910896,1.686964248
10,39,2938.67745,-0.458947916,-190.9821054,0.585922107,1.759876444
11,49,3865.06675,2.2056594,-5.008693912,1.650317904,1.774640308
12,3,776.922814,0.66935054,312.7604573,0.053322369,1.768033223
13,27,2547.600252,0.724263293,306.4397628,0.457940568,1.848541969
14,7,1086.423727,-0.261723579,326.0950149,0.160852875,1.903947681
15,1,1.424012,-0.671597605,-314.655167,0.0189169,1.446167853
16,3,786.012243,0.740904058,321.8498863,0.060895738,2.236776271
17,1,109.58844,1.913635585,-206.490739,0.027119957,1.706344326
18,2,135.641392,-1.318893653,-254.4793759,0.020972324,2.163331173
19,2,135.641392,-1.318893653,-254.4793759,0.020972324,2.163331173
20,27,2542.713654,0.667776352,301.5531648,0.425225361,1.76422195
21,3,786.012243,0.740904058,321.8498863,0.060895738,2.236776271
22,3,292.443095,-2.039422872,-171.7192617,0.032438685,1.683950197
23,34,2747.169797,-0.276781064,-12.28181414,0.483092125,1.774298478
24,28,2280.832151,-1.148374167,-34.36992703,0.366155695,1.769578819
25,7,1183.23155,0.620164898,422.9028379,0.111141124,1.943243701
26,30,2647.256895,0.322760895,183.9716393,0.515087048,1.784096317
27,37,2995.031378,0.5658908,13.45500031,0.904933292,1.801052502
28,25,2409.009672,0.505843286,315.9323605,0.389069814,1.817200099
29,56,4167.803967,2.127625232,-220.5625989,2.181354093,1.809232223
30,39,3068.946711,0.319345774,-60.7128444,0.704084942,1.798818643
31,2,650.100056,0.996774891,259.9792881,0.043504306,1.928965909
32,30,2607.50598,0.076272036,144.2207243,0.510742836,1.807556773
33,3,292.443095,-2.039422872,-171.7192617,0.032438685,1.683950197
34,4,844.74351,0.358311976,306.5395644,0.066796109,1.836476497
35,1,3.433891,-0.811140236,-312.645288,0.020826427,1.453576403
36,30,2602.35414,0.152941863,139.0688843,0.467300526,1.837376292
38,13,473.334449,-9.531821301,-731.2437963,0.060497954,1.55878732
39,2,253.645516,-0.986201396,-136.4752519,0.025895346,1.799137094
